time,qsize,idle_count
0.002117156982421875,0,1
1.005131721496582,1,30
2.0423285961151123,0,27
3.064568281173706,0,26
4.065725326538086,596,24
5.06699800491333,622,10
6.0681540966033936,941,7
7.070135116577148,1805,3
8.224530458450317,2188,2
9.22982668876648,2215,0
10.244802474975586,2217,0
11.252233743667603,2182,0
12.267716646194458,2212,0
13.421647310256958,2200,0
14.425343990325928,2187,0
15.430633306503296,2138,0
16.43082571029663,2095,0
17.436840057373047,2079,0
18.43943428993225,2079,0
19.474726915359497,2068,0
20.618245601654053,2056,0
21.67754054069519,2079,0
22.72499442100525,2079,0
23.75135326385498,2076,0
24.76029396057129,2079,0
25.794275522232056,2079,0
26.81658387184143,2067,0
27.8400456905365,2085,0
28.85614585876465,2084,0
30.023622274398804,2085,0
31.066314935684204,2069,0
32.09069085121155,2177,0
33.096216678619385,2176,0
34.132309436798096,2172,0
35.14679312705994,2170,0
36.157089710235596,2163,0
37.18108344078064,2145,0
38.19764828681946,2145,0
39.21170997619629,2141,0
40.24562120437622,2139,0
41.263530015945435,2133,0
42.27619004249573,2113,0
43.291098833084106,2112,0
44.30766153335571,2109,0
45.32528352737427,2111,0
46.35076689720154,2114,0
47.366780281066895,2109,0
48.401188373565674,2106,0
49.41407537460327,2101,0
50.42665123939514,2099,0
51.6798255443573,2095,0
52.709834575653076,2090,0
53.7289035320282,2082,0
54.73796534538269,2059,0
55.74428915977478,2058,0
56.74974775314331,2055,0
58.05692219734192,2051,0
59.06223726272583,2047,0
60.07633018493652,2043,0
61.10552620887756,2039,0
62.137906551361084,2036,0
63.14958691596985,2019,0
64.17363262176514,2005,0
65.19840383529663,2005,0
66.19912934303284,1992,0
67.21568846702576,1990,0
68.24716639518738,1981,0
69.2545850276947,1948,0
70.2693943977356,1930,0
71.27583026885986,1930,0
72.70785093307495,1923,0
73.72857570648193,1919,0
74.76568245887756,1900,0
75.77881669998169,1900,0
76.80767130851746,1883,0
77.8628921508789,1882,0
78.88351607322693,1881,0
79.90280389785767,1877,0
80.96227192878723,1875,0
81.98456048965454,1870,0
83.02068877220154,1867,0
84.0295193195343,1863,0
85.05066180229187,1858,0
86.06535959243774,1855,0
87.0798830986023,1850,0
88.10442233085632,1845,0
89.1261830329895,1842,0
90.17660880088806,1837,0
91.19296145439148,1833,0
92.21000981330872,1829,0
93.22058057785034,1795,0
94.22603511810303,1795,0
95.24942517280579,1794,0
96.28545999526978,1790,0
97.34180355072021,1784,0
98.35082006454468,1782,0
99.37562251091003,1774,0
100.38368821144104,1768,0
101.3933973312378,1764,0
102.41723299026489,1760,0
103.42612314224243,1754,0
104.43629336357117,2018,0
105.47109889984131,2021,0
106.48917961120605,2286,0
107.50196099281311,2290,0
108.51145672798157,2292,0
109.54103970527649,2300,0
110.57382583618164,2344,0
111.59084367752075,2342,0
112.60064196586609,2352,0
113.61952900886536,2355,0
114.63515734672546,2362,0
115.64058566093445,2380,0
116.65917158126831,2397,0
117.6757435798645,2447,0
118.69046401977539,2472,0
119.69185543060303,2475,0
120.69273209571838,2599,0
121.70103192329407,2636,0
122.70543193817139,2777,0
123.71804285049438,2923,0
124.73094773292542,3033,0
125.75023889541626,3082,0
126.75283813476562,3147,0
127.7551543712616,3182,0
128.79466724395752,3252,0
129.9800775051117,3253,0
130.985684633255,3251,0
132.00441694259644,3312,0
133.01525163650513,3310,0
134.0504994392395,3333,0
135.06437993049622,3352,0
136.08764004707336,3349,0
137.0988688468933,3418,0
138.11532044410706,3420,0
139.1695694923401,3437,0
140.19855642318726,3547,0
141.22549724578857,3603,0
142.23633980751038,3636,0
143.25453925132751,3654,0
144.28810739517212,3676,0
145.30849051475525,3719,0
146.36435341835022,3718,0
147.41606450080872,3723,0
149.59190368652344,3735,0
150.61259174346924,3735,0
151.63021421432495,3741,0
152.75916361808777,3748,0
154.73248648643494,3752,0
155.74580836296082,3754,0
156.78162384033203,3766,0
157.8333489894867,3759,0
158.8474941253662,3837,0
159.85086965560913,3834,0
160.860821723938,3912,0
161.9217746257782,3918,0
162.9312162399292,3917,0
163.93468022346497,3941,0
164.96439385414124,4000,0
165.99198603630066,4018,0
167.01292967796326,4019,0
168.03923344612122,4055,0
169.05965542793274,4141,0
170.09929490089417,4199,0
171.1516833305359,4198,0
172.17702341079712,4239,0
173.19244837760925,4245,0
174.2216818332672,4265,0
175.25412011146545,4278,0
176.2573401927948,4294,0
177.26224446296692,4300,0
178.2784926891327,4347,0
179.3024697303772,4420,0
180.3340711593628,4441,0
181.36708331108093,4436,0
182.37950158119202,4471,0
183.4090645313263,4468,0
184.44229340553284,4474,0
185.45334458351135,4487,0
186.46629238128662,4500,0
187.477032661438,4504,0
188.49249386787415,4518,0
189.51693725585938,4516,0
190.54689741134644,4518,0
191.5797770023346,4521,0
192.59848380088806,4519,0
193.62366580963135,4516,0
194.64692425727844,4526,0
195.65406775474548,4802,0
196.66765213012695,4802,0
